"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"333",35,56,15.7,2.75,13,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"334",37,58,13.5,1.05,9,0,0,0,0,0,0,0,0,0,0,0,0,"Myristica","lowiana","untouched"
"335",31,57,8.2,1.05,9,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"336",37,55,23.4,3.7,17,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"337",33,54,6.7,1.7125,7,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"338",32,53,7.1,0.99,15,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"339",31,52,7.1,0.425,15,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","cf. evena","untouched"
"340",33,52,18.8,1.5625,15,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
"341",35,53,34.3,5.2,19,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"342",36,53,22.9,3.625,17,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"343",38,51,8.8,1.45,10,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 5 cf. zeylanicum","untouched"
"344",39,48,8.7,1.0625,12,0,0,0,0,0,0,0,0,0,0,0,1,"Dyera","polyphylla (lowii)","untouched"
"345",36,49,6.5,0.9,9,0,0,0,0,0,0,0,0,0,0,0,0,"Knema","intermedia","untouched"
"346",34,49,7.9,1.25,8,0,0,0,0,0,0,0,0,0,0,0,0,"Ternstroemia","magnifica","untouched"
"347",32,49,11.9,2.2,19,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"348",31,50,7.8,2.2875,14,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","sp. 1 cf. dasystachys","untouched"
"349",31,49,10.9,1.4125,18,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"350",33,49,10.2,3.2875,13,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"351",33,47,7.8,1.2625,7,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus","untouched"
"352",36,47,21.7,2.8,23.9710078092554,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
"353",37,47,27.4,3.95,29.8534675617062,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"354",39,47,6.3,1.65,6.5,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"355",39,44,19.8,2.2,20.8137754961415,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"356",38,43,17,2.65,28.0641710650936,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
"357",38,42,12,0.975,16,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"358",36,45,9.7,1.2625,12,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"359",33,45,9.1,1.875,10,0,0,0,0,0,0,0,0,0,0,0,1,"Dyera","polyphylla (lowii)","untouched"
"360",32,45,12.1,2.475,12,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"361",29,44,11.1,2.1,12,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","bancana","untouched"
"362",32,43,34.6,5.275,34.761083218395,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","hosei","untouched"
"363",31,41,9.5,1.65,15,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"364",33,41,15.8,2.3,17,0,0,0,0,0,0,0,1,0,0,0,0,"Syzygium","sp. 4","untouched"
"365",35,42,16.2,2.675,17,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
